Name:;Daten Ger. INSTR 04.09.2020 11:46:25
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:46:25
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
88;04.09.2020 11:47:52;32,051;0;110,91847;0;112,85322;0;1121,0365;0;2034,6573;0;1581,1046;0;3,0583E-05;0
89;04.09.2020 11:47:53;32,236;0;110,99663;0;112,92566;0;1121,7556;0;2037,6941;0;1569,1705;0;3,9397E-05;0
90;04.09.2020 11:47:54;32,423;0;111,07245;0;112,99597;0;1122,4631;0;2040,6882;0;1557,503;0;4,6511E-05;0
91;04.09.2020 11:47:55;32,604;0;111,14891;0;113,06416;0;1123,163;0;2043,6717;0;1545,974;0;5,4901E-05;0
92;04.09.2020 11:47:56;32,781;0;111,22313;0;113,1334;0;1123,8523;0;2046,6339;0;1534,6688;0;6,2759E-05;0
93;04.09.2020 11:47:57;32,958;0;111,29906;0;113,20052;0;1124,532;0;2049,5534;0;1523,6086;0;7,0617E-05;0
94;04.09.2020 11:47:58;33,134;0;111,3719;0;113,26657;0;1125,2031;0;2052,4516;0;1512,7083;0;7,9112E-05;0
95;04.09.2020 11:47:59;33,306;0;111,44411;0;113,33049;0;1125,8647;0;2055,3179;0;1501,9997;0;8,6864E-05;0
96;04.09.2020 11:48:00;33,473;0;111,51727;0;113,39335;0;1126,5156;0;2058,1522;0;1491,515;0;9,4616E-05;0
97;04.09.2020 11:48:01;33,636;0;111,58905;0;113,4562;0;1127,158;0;2060,9545;0;1481,222;0;0,000101943;0
98;04.09.2020 11:48:02;33,8;0;111,65966;0;113,51799;0;1127,794;0;2063,7462;0;1471,0888;0;0,000109589;0
99;04.09.2020 11:48:03;33,959;0;111,73027;0;113,57552;0;1128,4141;0;2066,5059;0;1461,2006;0;0,000117022;0
100;04.09.2020 11:48:04;34,118;0;111,79896;0;113,63944;0;1129,0277;0;2069,2124;0;1451,4511;0;0,000123606;0
101;04.09.2020 11:48:05;34,269;0;111,86734;0;113,69697;0;1129,6318;0;2071,8868;0;1441,9146;0;0,000130933;0
